127.0.0.1 - - [29/Dec/2015:09:17:15 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:18 +0530] "GET /Patient_Management_System/navbar.jsp HTTP/1.1" 200 5278
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:26 +0530] "GET /Patient_Management_System/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:26 +0530] "GET /Patient_Management_System/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:26 +0530] "GET /Patient_Management_System/login.jsp HTTP/1.1" 200 2635
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:26 +0530] "GET /Patient_Management_System/resource/fonts/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:26 +0530] "GET /Patient_Management_System/resource/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:26 +0530] "GET /Patient_Management_System/resource/css/icheck/flat/green.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:26 +0530] "GET /Patient_Management_System/resource/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:26 +0530] "GET /Patient_Management_System/resource/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:26 +0530] "GET /Patient_Management_System/resource/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:27 +0530] "GET /Patient_Management_System/resource/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:29 +0530] "GET /Patient_Management_System/resource/css/maps/jquery-jvectormap-2.0.1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:29 +0530] "GET /Patient_Management_System/resource/css/floatexamples.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:29 +0530] "GET /Patient_Management_System/resource/js/nprogress.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:29 +0530] "GET /Patient_Management_System/resource/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:29 +0530] "GET /Patient_Management_System/login?email=rbg%40gmail.com&pwd=123 HTTP/1.1" 200 72720
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:29 +0530] "GET /Patient_Management_System/resource/images/user_icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:29 +0530] "GET /Patient_Management_System/resource/fonts/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 65452
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:29 +0530] "GET /Patient_Management_System/images/img.jpg HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:30 +0530] "GET /Patient_Management_System/resource/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:30 +0530] "GET /Patient_Management_System/resource/js/gauge/gauge_demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:30 +0530] "GET /Patient_Management_System/resource/js/chartjs/chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:30 +0530] "GET /Patient_Management_System/resource/js/gauge/gauge.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:30 +0530] "GET /Patient_Management_System/resource/js/progressbar/bootstrap-progressbar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:30 +0530] "GET /Patient_Management_System/resource/js/nicescroll/jquery.nicescroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:30 +0530] "GET /Patient_Management_System/resource/js/icheck/icheck.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:30 +0530] "GET /Patient_Management_System/resource/js/moment.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:30 +0530] "GET /Patient_Management_System/resource/js/datepicker/daterangepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:30 +0530] "GET /Patient_Management_System/resource/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:30 +0530] "GET /Patient_Management_System/resource/js/flot/jquery.flot.pie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:30 +0530] "GET /Patient_Management_System/resource/js/flot/jquery.flot.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:30 +0530] "GET /Patient_Management_System/resource/js/flot/jquery.flot.orderBars.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:30 +0530] "GET /Patient_Management_System/resource/js/flot/curvedLines.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:30 +0530] "GET /Patient_Management_System/resource/js/flot/jquery.flot.spline.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:30 +0530] "GET /Patient_Management_System/resource/js/flot/date.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:30 +0530] "GET /Patient_Management_System/resource/js/flot/jquery.flot.time.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:30 +0530] "GET /Patient_Management_System/resource/js/flot/jquery.flot.stack.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2015:09:17:30 +0530] "GET /Patient_Management_System/resource/js/flot/jquery.flot.resize.js HTTP/1.1" 304 -
